Feature,Mean,Std,Min,Max,Q25,Q75
jawRight,-6.6455705e-08,0.99655765,-0.11344118,360.72858,-0.10119283,-0.04372102
mouthClose,-6.1584387e-06,0.9988731,-0.26304308,81.39709,-0.24437374,-0.110944614
mouthDimpleLeft,5.5804173e-07,0.9993874,-0.39897642,24.139515,-0.36263195,-0.073133
mouthDimpleRight,-5.987908e-07,1.0005555,-0.32258427,36.553646,-0.27986687,-0.06418933
mouthFrownLeft,6.399093e-06,0.9996124,-0.36549956,26.386469,-0.3531671,-0.07510941
mouthFrownRight,1.0413478e-05,1.0003759,-0.35737905,20.959633,-0.34559503,-0.08992158
mouthFunnel,-2.8247575e-07,0.9990406,-0.45297974,39.75386,-0.4014193,-0.03152007
mouthLeft,-3.8147405e-06,1.0016459,-0.3353096,30.63298,-0.29620025,-0.11490609
mouthLowerDownLeft,-3.331505e-05,0.9883234,-0.1767929,18.826439,-0.17338032,-0.15735163
mouthLowerDownRight,-3.0491143e-05,0.9904938,-0.17820577,17.82174,-0.17512804,-0.15966941
mouthPressLeft,4.2558142e-07,0.999699,-0.6232997,13.682232,-0.52575016,0.104044974
mouthPressRight,-1.6346332e-08,0.99993527,-0.6322549,15.848337,-0.5033199,0.05445132
mouthPucker,3.857062e-07,0.9995257,-0.67703944,4.9546847,-0.607792,0.14486088
mouthRight,-7.2223214e-05,0.9902579,-0.17960091,33.24105,-0.17267889,-0.11935772
mouthRollLower,-1.4173545e-06,1.0003973,-0.30624074,22.301943,-0.28436947,-0.107149035
mouthRollUpper,-5.331522e-07,1.0015061,-0.27420846,42.238953,-0.2592617,-0.07482411
mouthShrugLower,-3.0188863e-07,0.9993459,-0.53244066,6.3284874,-0.49200958,-0.10907734
mouthShrugUpper,7.3071175e-07,0.9994945,-0.8197895,9.521127,-0.6157317,0.22846484
mouthSmileLeft,1.6205675e-05,1.0011704,-0.4194232,5.659762,-0.4171446,-0.20741543
mouthSmileRight,8.0731525e-06,1.0011028,-0.41493818,5.8454943,-0.4130335,-0.21012016
mouthStretchLeft,-1.2398795e-05,0.99978757,-0.43114805,14.210461,-0.41081303,-0.013128686
mouthStretchRight,1.0123864e-06,0.9995186,-0.44836456,11.646602,-0.42231628,-0.01998704
mouthUpperUpLeft,7.814832e-06,1.0020889,-0.28609726,10.833523,-0.28384957,-0.20680514
mouthUpperUpRight,-1.370447e-05,0.9981556,-0.30619562,8.568399,-0.3037029,-0.2167895
noseSneerLeft,9.708739e-07,0.9996481,-1.0080005,28.70372,-0.62681556,0.2907381
noseSneerRight,-5.0201425e-07,0.9992045,-0.9212769,22.10089,-0.5316838,0.14543658
head_pitch,-0.00014793052,1.0021923,-0.7339156,1.4404353,-0.7339156,1.4404353
head_yaw,-2.9047055e-07,0.9996343,-6.4439287,6.4785924,-0.66742617,0.5908102
head_roll,-1.6744573e-07,0.9985515,-7.012196,6.982907,-0.22938557,0.09385544
head_translation_x,0.00023786299,0.9990052,-1.0023582,3.1864154,-0.9207896,0.562937
head_translation_y,3.8753336e-05,1.00148,-1.5915904,1.0903976,-0.92709726,1.0903976
head_translation_z,-6.3717154e-05,0.99633914,-6.810608,0.16803433,0.16803433,0.16803433
left_gaze_horizontal,-6.8660235e-08,0.9996,-4.919202,5.7324667,-0.59692776,0.579568
left_gaze_vertical,1.2939394e-06,0.9996002,-3.46589,3.389792,-0.651844,0.6640174
right_gaze_horizontal,4.1111853e-08,0.9995861,-5.4737787,4.891685,-0.5979321,0.5672798
right_gaze_vertical,9.257588e-08,0.9996065,-3.5574527,3.4414587,-0.654973,0.6686475
combined_gaze_horizontal,-9.704465e-07,0.9994494,-12.319018,20.225355,-0.3199917,0.5598593
combined_gaze_vertical,9.825567e-07,0.99960196,-3.514643,3.3979313,-0.6531722,0.66599524
eyebrow_activity,-2.6636258e-06,0.9997456,-1.1887336,7.7820673,-0.7064265,0.38269845
eye_activity,3.9384705e-07,0.9996515,-1.9013847,5.743115,-0.7317373,0.50224644
mouth_activity,8.409654e-07,0.9997034,-0.8514285,5.718757,-0.6408524,0.25056493
eyebrow_symmetry,1.7638782e-06,0.99970233,-22.88559,0.72011733,-0.31257093,0.6519434
eye_symmetry,2.3518858e-07,0.99959356,-11.6767845,1.0491438,-0.40318292,0.7308148
mouth_symmetry,2.3692543e-05,1.0005207,-13.853504,0.40997007,0.15117602,0.40728018
confusion_indicator,7.581453e-07,0.9997657,-1.8491797,4.9391427,-0.7150476,0.49274528
frustration_indicator,-4.488559e-07,0.9997909,-0.8825585,11.421772,-0.66979384,0.30948824
boredom_indicator,-1.5258929e-06,0.99967754,-1.2268198,5.6256557,-0.7392782,0.46159855
engagement_indicator,-1.5464778e-07,0.9995766,-0.67142123,6.1415167,-0.569505,0.0823881
facial_animation_level,-2.9247147e-07,0.99961495,-2.5182269,6.7589674,-0.72925985,0.5684658
expression_intensity,2.5994092e-07,0.999635,-2.6439967,3.3459241,-0.71944225,0.6404099
active_regions_count,-0.00014672702,0.9995754,-1.5265372,6.956221,-0.5285657,0.4694058
facial_tension,-3.48702e-08,0.9997096,-1.8031583,4.990419,-0.7243447,0.483153
